id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
40640,23802,4445.0,45-54,M,4564.0,5533.0,6441.0,4038
40701,16157,3231.0,45-54,M,1985.0,2842.0,3669.0,3554
40702,10130,554.0,55+,M,977.0,1753.0,2511.0,3248
40704,20570,1285.0,55+,M,2783.0,3666.0,4580.0,3807
40705,24589,4570.0,45-54,M,2906.0,3832.0,4854.0,4097
40706,2967,624.0,45-54,M,724.0,1367.0,2005.0,2753
40707,2144,561.0,23-34,M,673.0,1296.0,1930.0,2661
40708,2963,622.0,45-54,M,707.0,1352.0,2001.0,2752
40710,20514,1280.0,55+,M,1013.0,1932.0,2828.0,3803
40711,31585,5858.0,23-34,M,4457.0,5568.0,6665.0,4862
40712,22899,194.0,16-19,F,4453.0,5379.0,6303.0,3971
40713,13557,3154.0,23-34,M,3817.0,4606.0,5403.0,3424
40714,11432,2716.0,23-34,M,3857.0,4633.0,5397.0,3318
40715,13556,3153.0,23-34,M,3818.0,4606.0,5404.0,3424
40716,7187,2253.0,35-44,M,1670.0,2424.0,3157.0,3060
40717,14543,3882.0,35-44,M,4632.0,5444.0,6267.0,3475
40718,26895,5287.0,23-34,M,4482.0,5484.0,6485.0,4286
40719,989,368.0,35-44,M,652.0,1245.0,1839.0,2471
40720,9006,2224.0,23-34,M,1754.0,2515.0,3264.0,3178
40722,30531,745.0,20-22,M,4969.0,5999.0,7052.0,4700
40723,20973,5080.0,35-44,M,4320.0,5298.0,6124.0,3836
40724,27202,6158.0,35-44,M,,5565.0,6547.0,4315
40726,12480,2621.0,45-54,M,1837.0,2625.0,3408.0,3371
40727,14980,495.0,20-22,M,945.0,1756.0,2585.0,3496
40728,14816,3397.0,23-34,M,1872.0,2722.0,3546.0,3488
40729,31480,1984.0,55+,M,4687.0,5773.0,6803.0,4847
40730,1820,681.0,35-44,M,673.0,1286.0,1899.0,2620
40732,14351,3838.0,35-44,M,939.0,1762.0,2572.0,3466
40733,9724,2860.0,35-44,M,3654.0,4418.0,5168.0,3221
40734,14341,3835.0,35-44,M,939.0,1762.0,2572.0,3466
40735,26054,5964.0,35-44,M,4693.0,5651.0,6622.0,4214
40736,31709,6857.0,35-44,M,5064.0,6173.0,7267.0,4884
40737,20857,5062.0,35-44,M,3955.0,4858.0,5742.0,3828
40738,8252,2082.0,23-34,M,3712.0,4478.0,5179.0,3130
40739,27853,6258.0,35-44,M,4938.0,5916.0,6828.0,4374
40740,23200,1468.0,55+,M,1960.0,2915.0,3856.0,3993
40741,10560,3053.0,35-44,M,2582.0,3387.0,4191.0,3272
40743,26060,5966.0,35-44,M,4693.0,5651.0,6622.0,4214
40744,26640,4837.0,45-54,M,4053.0,4995.0,6049.0,4262
40745,8328,2102.0,23-34,M,3508.0,4259.0,5028.0,3136
40746,5009,1063.0,45-54,M,4047.0,4734.0,5383.0,2922
40747,267,97.0,35-44,M,588.0,1126.0,1647.0,2243
40748,18856,4702.0,35-44,M,,5177.0,6048.0,3701
40749,23445,5515.0,35-44,M,3000.0,3920.0,4868.0,4011
40752,27641,5375.0,23-34,M,4307.0,5339.0,6353.0,4353
40753,13886,3728.0,35-44,M,4059.0,4930.0,5675.0,3442
40754,25295,4653.0,45-54,M,2836.0,3788.0,4774.0,4150
40755,2775,971.0,35-44,M,868.0,1523.0,2162.0,2731
40756,9972,2134.0,45-54,M,3918.0,4664.0,5400.0,3238
40757,26644,1680.0,55+,M,4053.0,4995.0,6049.0,4262
40759,6283,1650.0,23-34,M,896.0,1608.0,2270.0,3000
40760,14427,2942.0,45-54,M,963.0,1790.0,2608.0,3469
40761,29568,5230.0,45-54,M,4984.0,6035.0,7080.0,4562
40762,15584,4083.0,35-44,M,4161.0,5027.0,5835.0,3527
40764,27828,927.0,16-19,M,4938.0,5916.0,6828.0,4373
40766,27876,1753.0,55+,M,4100.0,5124.0,6148.0,4377
40767,24095,1525.0,55+,M,1883.0,2876.0,3967.0,4061
40769,75,26.0,23-34,M,488.0,979.0,1468.0,2063
40770,4275,1155.0,23-34,M,,4375.0,5019.0,2866
40771,6094,1951.0,35-44,M,3908.0,4586.0,5271.0,2990
40772,26052,4765.0,45-54,M,3481.0,4483.0,5485.0,4214
40773,24707,5717.0,35-44,M,4115.0,5086.0,6052.0,4105
40774,13601,3667.0,35-44,M,1801.0,2618.0,3428.0,3427
40775,19243,4197.0,23-34,M,990.0,1894.0,2750.0,3724
40776,23085,5468.0,35-44,M,1191.0,2182.0,3085.0,3986
40777,24279,5648.0,35-44,M,4224.0,5157.0,6083.0,4074
40778,24517,4559.0,45-54,M,4273.0,5245.0,6199.0,4092
40779,9383,2779.0,35-44,M,844.0,1583.0,2339.0,3198
40780,17433,3883.0,23-34,M,,4739.0,5624.0,3617
40781,5034,1334.0,23-34,M,841.0,1551.0,2241.0,2924
40784,13280,3088.0,23-34,M,4391.0,5225.0,5982.0,3411
40786,24285,683.0,20-22,M,4507.0,5468.0,6428.0,4074
40788,10369,3006.0,35-44,M,3561.0,4311.0,5108.0,3260
40789,7590,1937.0,23-34,M,1748.0,2466.0,3215.0,3085
40790,23212,5482.0,35-44,M,1061.0,2008.0,2935.0,3994
40791,17194,4417.0,35-44,M,4189.0,5022.0,5848.0,3603
40792,31672,1998.0,55+,M,,5791.0,6835.0,4877
40793,21724,4553.0,23-34,M,4034.0,4918.0,5813.0,3888
40795,3544,1213.0,35-44,M,,4762.0,5409.0,2808
40796,22588,4685.0,23-34,M,4440.0,5341.0,6317.0,3950
40797,23207,4369.0,45-54,M,1061.0,2007.0,2936.0,3994
40798,10307,2995.0,35-44,M,999.0,1798.0,2572.0,3256
40799,17302,4435.0,35-44,M,837.0,1674.0,2531.0,3609
40800,30011,6582.0,35-44,M,5024.0,6042.0,7138.0,4620
40801,14019,3757.0,35-44,M,3941.0,4758.0,5537.0,3449
40802,23013,5456.0,35-44,M,2089.0,3043.0,3986.0,3981
40803,22573,4273.0,45-54,M,4131.0,5068.0,5983.0,3949
40804,32898,5630.0,45-54,M,4193.0,5321.0,6468.0,5149
40805,15843,3602.0,23-34,M,985.0,1815.0,2614.0,3540
40806,16537,1001.0,55+,M,1929.0,2771.0,3618.0,3571
40807,19497,724.0,16-19,M,4039.0,4960.0,5864.0,3740
40809,11858,3314.0,35-44,M,1933.0,2739.0,3497.0,3339
40811,6061,1598.0,23-34,M,1709.0,2415.0,3149.0,2988
40813,751,211.0,23-34,M,597.0,1174.0,1744.0,2426
40814,19331,3767.0,45-54,M,,5067.0,5931.0,3730
40815,9401,2021.0,45-54,M,1052.0,1787.0,2499.0,3199
40816,8463,1811.0,45-54,M,975.0,1728.0,2468.0,3145
40817,10761,2564.0,23-34,M,2704.0,3470.0,4227.0,3284
40818,30191,5319.0,45-54,M,4395.0,5546.0,6562.0,4645
40820,23005,4747.0,23-34,M,,5503.0,6416.0,3980
40821,20002,3868.0,45-54,M,2898.0,3827.0,4695.0,3772
40822,22843,4306.0,45-54,M,1083.0,2084.0,2963.0,3967
